RegimenType,CONCET ID
3TC/AZT/NVP,1652
AZT-3TC-ATV/r,164511
TDF-3TC-EFV,164505
3TC/D4T/NVP,792
3TC/TDF/LPV/r,162201
3TC/AZT/EFV/NVP,
3TC/AZT/EFV,160124
3TC/TDF/EFV,164505
TDF-3TC-DTG,165681
3TC/AZT/LPV/r,162561
AZT-3TC-NVP,1652
TDF-3TC-LPV/r,162201
3TC/TDF,161364
3TC/TDF/NVP,162565
3TC/TDF/EFV/LPV/r,
3TC/EFV/LPV/r,
TDF-3TC-ATV/r,164512
TDF/FTC/NVP,164854
3TC/AZT/TDF/NVP/LPV/r,
3TC/AZT,630
TDF/FTC/EFV,104565
TDF/FTC/LPV/r,165523
3TC/AZT/TDF/LPV/r,165530
AZT-3TC-LPV/r,162561
TDF/FTC,104567
3TC/FTC/NVP,
3TC/TDF/ATV,164512
3TC/D4T,161363
TDF/EFV/NVP,
3TC/ABC/LPV/r,162200
3TC/AZT/ABC/LPV/r,
ABC-3TC-LPV/r,162200
3TC/AZT/TDF/EFV,5622
3TC/D4T/EFV,160104
3TC/TDF/ABC/LPV/r,5622
3TC/AZT/D4T,5622
TDF/ABC/FTC,5622
TDF/FTC/NVP/RTV,5622
TDF/NVP,162565
AZT,621
AZT/EFV,160124
3TC/AZT/ATV,164511
3TC/ABC/EFV,162563
ABC-3TC-EFV,162563
EFV,800
AZT/TDF/EFV,5622
AZT/TDF,5622
ABC-3TC-ATV/r,166092
D4T/TDF/NVP,5622
3TC/ABC/NVP,162199
3TC/FTC/EFV,5622
3TC/EFV,5622
3TC/TDF/FTC,5622
LPV/r,794
AZT/TDF/FTC,5622
3TC/AZT/FTC,5622
TDF-FTC-EFV,104565
AZT/TDF/FTC/LPV/r,165540
AZT-3TC-EFV,160124
3TC/TDF/ABC,5622
TDF/FTC/ATV,165524
D4T,625
ABC/EFV,5622
3TC/ABC,103166
NULL,5622
NVP,808
